index,from,url,header
1,apnews,https://apnews.com//article/russia-ukraine-biden-taiwan-china-4fb0ad0567ed5bbe46c01dd758e6c62b,Biden: US would intervene with military to defend Taiwan
2,apnews,https://apnews.com//article/russia-ukraine-kyiv-kharkiv-2fb1355f5c0b5724adfc5b4367807335,Russian sentenced to life in Ukraine’s 1st war crimes trial
3,apnews,https://apnews.com//article/pfizer-covid-vaccine-children-under-5-bb01e939338991f83a84f5c1a2aabafa,Pfizer says 3 COVID shots protect children under 5
4,apnews,https://apnews.com//article/russia-ukraine-putin-politics-41f8ccd1e1d75a062275181d9288d378,"After 3 months of war, life in Russia has profoundly changed"
5,apnews,https://apnews.com//article/biden-covid-politics-health-united-states-2e5ba9c704ac7e347c73e8a4def2c90c,Court ruling extends uneven treatment for asylum-seekers
6,apnews,https://apnews.com//article/science-health-af7a9482bc636b1c4d4bd3e1b55156d1,Theories emerge for mysterious liver illnesses in children
7,apnews,https://apnews.com//article/russia-ukraine-biden-asia-united-states-c6878c7d14112e45a870a3e8735f7e71,"Biden launches Indo-Pacific trade deal, warns over inflation"
8,apnews,https://apnews.com//article/health-world-organization-united-nations-animals-72a9efaaf5b55ace396398b839847505,Expert: Monkeypox likely spread by sex at 2 raves in Europe
9,apnews,https://apnews.com//article/russia-ukraine-world-economic-forum-climate-zelenskyy-health-f149534c73a6166556ab7533b611b243,Zelenskyy urges ‘maximum’ sanctions on Russia in Davos talk
10,apnews,https://apnews.com//article/baptist-religion-sexual-abuse-by-clergy-southern-convention-bfdbe64389790630488f854c3dae3fd5,Report: Top Southern Baptists stonewalled sex abuse victims
11,apnews,https://apnews.com//article/health-new-york-city-5e50b8bffa4625f7b1b520913861d5bb,New York officials investigate case of suspected monkeypox
12,apnews,https://apnews.com//article/sports-new-york-city-brooklyn-marathons-901d2e5a0cfd5ba4875380beddda8ec1,"Runner collapses, dies after Brooklyn half-marathon"
13,apnews,https://apnews.com//article/science-oddities-minnesota-minneapolis-native-americans-d4722c10440e2e6ef074299c3f3fdb99,"Nearly 8,000-year-old skull found in Minnesota River"
14,apnews,https://apnews.com//article/india-kashmir-mountains-tunnel-collapses-ac1e150c7dfdacad0eef5144d870fb96,"9 more bodies found in Kashmir tunnel collapse, toll at 10"
15,apnews,https://apnews.com//article/buffalo-supermarket-shooting-covid-health-education-suicide-prevention-0ef4bbf0cb9f95ae342076a508cda507,School counselors sound cry for help after Buffalo shooting
16,apnews,https://apnews.com//article/buffalo-supermarket-shooting-syracuse-religion-shootings-4ac02e31af835c5f5f4b714ed57b5c99,Buffalo shooting victim laid to rest; city marks 1 week
17,apnews,https://apnews.com//article/is-mass-death-now-tolerated-in-america-shootings-covid-b95cba76f15acf801d5a6b0d1d3d559f,"COVID-19, shootings: Is mass death now tolerated in America?"
18,apnews,https://apnews.com//article/buffalo-supermarket-shooting-new-york-race-and-ethnicity-robert-aaron-long-39570624f19291efd6e87bd61da7508e,Handling of Buffalo suspect spurs talk of uneven restraint
19,apnews,https://apnews.com//article/russia-ukraine-putin-politics-41f8ccd1e1d75a062275181d9288d378,"After 3 months of war, life in Russia has profoundly changed"
20,apnews,https://apnews.com//article/russia-ukraine-kyiv-kharkiv-2fb1355f5c0b5724adfc5b4367807335,Russian sentenced to life in Ukraine's 1st war crimes trial
21,apnews,https://apnews.com//article/ukrainian-pow-photos-mariupol-siege-cc5d2209aa11de606140c3fa7c5dfdf2,AP PHOTOS: A POW's legacy of Mariupol siege pictures
22,apnews,https://apnews.com//article/russia-ukraine-59e81265932244b2a50a42fd859fa9a2,"Starbucks leaving Russian market, shutting 130 stores"
23,apnews,https://apnews.com//article/biden-asia-tokyo-government-and-politics-8577338ff19c5c17b78a4b747327aa34,EXPLAINER: What's in Biden's proposed new Asia trade pact?
24,apnews,https://apnews.com//article/russia-ukraine-59e81265932244b2a50a42fd859fa9a2,"Starbucks leaving Russian market, shutting 130 stores"
25,apnews,https://apnews.com//article/pfizer-covid-vaccine-children-under-5-bb01e939338991f83a84f5c1a2aabafa,Pfizer says 3 COVID shots protect children under 5
